Date/Time_Start,Status,Price,Date,Site_Start,Type_Start,Edition_Start,Site_End,Type_End,Edition_End,Date/Time_End
2021-02-16 08:07:00,Target - Console Digital Edition In Stock for $?,,2021-02-16,Target,Console Digital Edition In Stock for $?,Console Digital Edition,Target,Console Digital Edition Out of Stock,Console Digital Edition,2021-02-16 08:10:00
2021-02-16 03:15:00,Amazon - Console In Stock for $499.99,499.99,2021-02-16,Amazon,Console In Stock for $499.99,Console,Amazon,Console Out of Stock,Console,2021-02-16 03:36:00
2021-02-12 17:04:00,Playstation Direct - Console In Stock for $499.99,499.99,2021-02-12,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2021-02-12 17:22:00
2021-02-12 17:02:00,Playstation Direct - Console Out of Stock,,2021-02-12,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2021-02-12 17:04:00
2021-02-12 16:59:00,Playstation Direct - Console In Stock for $499.99,499.99,2021-02-12,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2021-02-12 17:02:00
2021-02-10 15:39:00,Playstation Direct - Console Out of Stock,,2021-02-10,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2021-02-11 16:29:00
2021-02-10 15:17:00,Playstation Direct - Console In Stock for $499.99,499.99,2021-02-10,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2021-02-10 15:39:00
2021-02-02 07:43:00,Target - Console In Stock for $?,,2021-02-02,Target,Console In Stock for $?,Console,Target,Console Out of Stock,Console,2021-02-02 07:46:00
2021-01-27 15:31:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2021-01-27,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2021-01-27 16:03:00
2021-01-26 16:48:00,Playstation Direct - Console In Stock for $499.99,499.99,2021-01-26,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2021-01-26 16:59:00
2021-01-26 16:46:00,Playstation Direct - Console Out of Stock,,2021-01-26,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2021-01-26 16:48:00
2021-01-26 16:31:00,Playstation Direct - Console In Stock for $499.99,499.99,2021-01-26,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2021-01-26 16:46:00
2021-01-22 16:09:00,Best Buy - Console In Stock for $499.99,499.99,2021-01-22,Best Buy,Console In Stock for $499.99,Console,Best Buy,Console Out of Stock,Console,2021-01-22 16:15:00
2021-01-22 15:54:00,Best Buy - Console Out of Stock,,2021-01-22,Best Buy,Console Out of Stock,Console,Best Buy,Console In Stock for $499.99,Console,2021-01-22 16:09:00
2021-01-22 15:51:00,Best Buy - Console In Stock for $499.99,499.99,2021-01-22,Best Buy,Console In Stock for $499.99,Console,Best Buy,Console Out of Stock,Console,2021-01-22 15:54:00
2021-01-22 15:39:00,Best Buy - Console In Stock for $499.99,499.99,2021-01-22,Best Buy,Console In Stock for $499.99,Console,Best Buy,Console Out of Stock,Console,2021-01-22 15:42:00
2021-01-22 15:33:00,Best Buy - Console In Stock for $499.99,499.99,2021-01-22,Best Buy,Console In Stock for $499.99,Console,Best Buy,Console Out of Stock,Console,2021-01-22 15:36:00
2021-01-22 14:51:00,Best Buy - Console Out of Stock,,2021-01-22,Best Buy,Console Out of Stock,Console,Best Buy,Console In Stock for $499.99,Console,2021-01-22 15:33:00
2021-01-22 14:48:00,Best Buy - Console In Stock for $499.99,499.99,2021-01-22,Best Buy,Console In Stock for $499.99,Console,Best Buy,Console Out of Stock,Console,2021-01-22 14:51:00
2021-01-22 10:36:00,Costco - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99,639.99,2021-01-22,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,2021-01-22 10:41:00
2021-01-21 12:18:00,Best Buy - Console Out of Stock,,2021-01-21,Best Buy,Console Out of Stock,Console,Best Buy,Console In Stock for $499.99,Console,2021-01-21 12:21:00
2021-01-21 11:48:00,Best Buy - Console In Stock for $499.99,499.99,2021-01-21,Best Buy,Console In Stock for $499.99,Console,Best Buy,Console Out of Stock,Console,2021-01-21 12:18:00
2021-01-21 10:05:00,Amazon - Console In Stock for $499.99,499.99,2021-01-21,Amazon,Console In Stock for $499.99,Console,Amazon,Console Out of Stock,Console,2021-01-21 10:07:00
2021-01-21 10:02:00,Amazon - Console Out of Stock,,2021-01-21,Amazon,Console Out of Stock,Console,Amazon,Console In Stock for $499.99,Console,2021-01-21 10:05:00
2021-01-21 09:59:00,Amazon - Console In Stock for $499.99,499.99,2021-01-21,Amazon,Console In Stock for $499.99,Console,Amazon,Console Out of Stock,Console,2021-01-21 10:02:00
2021-01-20 08:22:00,Target - Console Digital Edition In Stock for $?,,2021-01-20,Target,Console Digital Edition In Stock for $?,Console Digital Edition,Target,Console Digital Edition Out of Stock,Console Digital Edition,2021-01-20 08:25:00
2021-01-19 13:37:00,Target - Console In Stock for $?,,2021-01-19,Target,Console In Stock for $?,Console,Target,Console Out of Stock,Console,2021-01-19 13:38:00
2021-01-19 13:30:00,Target - Console Digital Edition In Stock for $?,,2021-01-19,Target,Console Digital Edition In Stock for $?,Console Digital Edition,Target,Console Digital Edition Out of Stock,Console Digital Edition,2021-01-19 13:31:00
2021-01-13 16:22:00,Amazon - Console In Stock for $535.37,535.37,2021-01-13,Amazon,Console In Stock for $535.37,Console,Amazon,Console Out of Stock,Console,2021-01-13 16:25:00
2021-01-08 01:40:00,Amazon - Console Out of Stock,,2021-01-08,Amazon,Console Out of Stock,Console,Amazon,Console In Stock for $535.37,Console,2021-01-13 16:22:00
2021-01-08 01:06:00,Amazon - Console In Stock for $500.00,500.0,2021-01-08,Amazon,Console In Stock for $500.00,Console,Amazon,Console Out of Stock,Console,2021-01-08 01:40:00
2021-01-07 13:03:00,Best Buy - Console In Stock for $499.99,499.99,2021-01-07,Best Buy,Console In Stock for $499.99,Console,Best Buy,Console Out of Stock,Console,2021-01-07 14:02:00
2021-01-07 11:57:00,Best Buy - Console Out of Stock,,2021-01-07,Best Buy,Console Out of Stock,Console,Best Buy,Console In Stock for $499.99,Console,2021-01-07 13:03:00
2021-01-07 11:46:00,Best Buy - Console In Stock for $499.99,499.99,2021-01-07,Best Buy,Console In Stock for $499.99,Console,Best Buy,Console Out of Stock,Console,2021-01-07 11:57:00
2021-01-07 11:43:00,Best Buy - Console Out of Stock,,2021-01-07,Best Buy,Console Out of Stock,Console,Best Buy,Console In Stock for $499.99,Console,2021-01-07 11:46:00
2021-01-07 11:40:00,Best Buy - Console In Stock for $499.99,499.99,2021-01-07,Best Buy,Console In Stock for $499.99,Console,Best Buy,Console Out of Stock,Console,2021-01-07 11:43:00
2020-12-29 17:25:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-29,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-29 17:29:00
2020-12-29 17:24:00,Playstation Direct - Console Out of Stock,,2020-12-29,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-29 17:25:00
2020-12-29 17:14:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-29,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-29 17:24:00
2020-12-29 17:12:00,Playstation Direct - Console Out of Stock,,2020-12-29,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-29 17:14:00
2020-12-29 17:09:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-29,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-29 17:12:00
2020-12-29 17:08:00,Playstation Direct - Console Out of Stock,,2020-12-29,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-29 17:09:00
2020-12-29 17:01:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-29,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-29 17:08:00
2020-12-29 15:42:00,"Amazon - Console In Stock for $1,489.90",489.9,2020-12-29,Amazon,"Console In Stock for $1,489.90",Console,Amazon,Console Out of Stock,Console,2020-12-29 15:43:00
2020-12-29 11:56:00,Amazon - Console Digital Edition In Stock for $399.99,399.99,2020-12-29,Amazon,Console Digital Edition In Stock for $399.99,Console Digital Edition,Amazon,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-29 11:58:00
2020-12-29 11:10:00,Amazon - Console In Stock for $499.99,499.99,2020-12-29,Amazon,Console In Stock for $499.99,Console,Amazon,Console Out of Stock,Console,2020-12-29 11:19:00
2020-12-29 06:27:00,Target - Console Digital Edition In Stock for $?,,2020-12-29,Target,Console Digital Edition In Stock for $?,Console Digital Edition,Target,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-29 06:31:00
2020-12-28 15:48:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-28,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-28 16:16:00
2020-12-21 12:36:00,Best Buy - Console Digital Edition In Stock for $399.99,399.99,2020-12-21,Best Buy,Console Digital Edition In Stock for $399.99,Console Digital Edition,Best Buy,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-21 13:18:00
2020-12-21 05:19:00,Target - Console Digital Edition In Stock for $?,,2020-12-21,Target,Console Digital Edition In Stock for $?,Console Digital Edition,Target,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-21 05:25:00
2020-12-18 15:41:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-18,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-18 15:55:00
2020-12-18 15:39:00,Playstation Direct - Console Out of Stock,,2020-12-18,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-18 15:41:00
2020-12-18 15:37:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-18,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-18 15:39:00
2020-12-18 15:34:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-18,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-18 15:37:00
2020-12-17 18:24:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-17,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-17 18:39:00
2020-12-17 18:22:00,Playstation Direct - Console Out of Stock,,2020-12-17,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-17 18:24:00
2020-12-17 18:19:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-17,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-17 18:22:00
2020-12-17 15:21:00,Walmart - Console In Stock for $499.00,499.0,2020-12-17,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-17 15:21:00
2020-12-16 16:12:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-16,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-16 16:22:00
2020-12-16 16:10:00,Playstation Direct - Console Digital Edition Out of Stock,,2020-12-16,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,2020-12-16 16:12:00
2020-12-16 16:04:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-16,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-16 16:10:00
2020-12-15 15:40:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:46:00
2020-12-15 15:37:00,Walmart - Console Out of Stock,,2020-12-15,Walmart,Console Out of Stock,Console,Walmart,Console In Stock for $499.00,Console,2020-12-15 15:40:00
2020-12-15 15:31:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:37:00
2020-12-15 15:25:00,Walmart - Console Out of Stock,,2020-12-15,Walmart,Console Out of Stock,Console,Walmart,Console In Stock for $499.00,Console,2020-12-15 15:31:00
2020-12-15 15:21:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:25:00
2020-12-15 15:18:00,Walmart - Console Out of Stock,,2020-12-15,Walmart,Console Out of Stock,Console,Walmart,Console In Stock for $499.00,Console,2020-12-15 15:21:00
2020-12-15 15:11:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:18:00
2020-12-15 15:05:00,Walmart - Console Out of Stock,,2020-12-15,Walmart,Console Out of Stock,Console,Walmart,Console In Stock for $499.00,Console,2020-12-15 15:11:00
2020-12-15 15:03:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:05:00
2020-12-15 01:15:00,Sam's Club - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.98,639.98,2020-12-15,Sam's Club,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.98,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,Sam's Club,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,2020-12-15 01:20:00
2020-12-11 16:53:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-11,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-11 17:09:00
2020-12-11 16:51:00,Playstation Direct - Console Digital Edition Out of Stock,,2020-12-11,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,2020-12-11 16:53:00
2020-12-11 16:49:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-11,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-11 16:51:00
2020-12-10 18:23:00,Playstation Direct - Console Digital Edition Out of Stock,,2020-12-10,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,2020-12-11 16:49:00
2020-12-10 18:15:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-10,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-10 18:18:00
2020-12-10 18:14:00,Playstation Direct - Console Out of Stock,,2020-12-10,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-10 18:15:00
2020-12-10 18:11:00,Playstation Direct - Console Digital Edition Out of Stock,,2020-12-10,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,2020-12-10 18:13:00
2020-12-10 18:03:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-10,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-10 18:11:00
2020-12-10 17:31:00,Costco - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99,639.99,2020-12-10,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,2020-12-10 17:35:00
